osmid,lat,lon
261694296,43.7042833,-79.4770365
265693325,43.7901654,-79.3592132
5833402173,43.7599873,-79.4096859
152633175,43.7770057,-79.5034115
1735994957,43.7220468,-79.5026283
2450071373,43.789303,-79.3541837
1246232557,43.7796987,-79.3457658
4590507457,43.751947,-79.3535156
2209286246,43.794445,-79.4237265
431267084,43.7123534,-79.4901481
365654287,43.7644381,-79.5119139
7024813370,43.7689911,-79.4587348
7620725163,43.735609,-79.3145527
2471279306,43.7649468,-79.4116136
1247822788,43.776352,-79.3486765
1589941145,43.7674924,-79.346496
6184170268,43.7662044,-79.4105359
1753487477,43.7638163,-79.3619751
1550652722,43.7939087,-79.3690775
7847059888,43.7702744,-79.5460357
6223902308,43.7589348,-79.4062391
1454590172,43.7659581,-79.3950429
2252649987,43.7539571,-79.3473465
4615994462,43.7180845,-79.4571041
5563013894,43.7765391,-79.4117398
1847713221,43.7493511,-79.5389205
430621337,43.7373326,-79.5297169
430559781,43.7395119,-79.5047646
1247846150,43.7713967,-79.3447269
32541836,43.7816408,-79.4552523
1277814610,43.7900283,-79.4468233
2082869796,43.7547541,-79.3603856
1250740245,43.7953336,-79.3537981
2361959104,43.7574088,-79.5164726
4611347397,43.7615906,-79.3560085
1740882934,43.7294217,-79.4360335
7223835130,43.7779214,-79.4748869
431267276,43.7173007,-79.4986639
1070034743,43.7382837,-79.3293977
265865524,43.7528107,-79.3264342
431340442,43.7308461,-79.4812277
25768529,43.7936842,-79.3504707
2295912658,43.7598707,-79.3330997
770598039,43.7627819,-79.4072087
196275920,43.7723284,-79.403181
252363491,43.7708189,-79.4316777
7434839503,43.7783194,-79.5034497
1333886614,43.7054209,-79.4811512
4616140652,43.7461833,-79.3478107
552588093,43.7645334,-79.3872652
297104665,43.8030354,-79.3860272
430597144,43.757543,-79.5785757
130033472,43.7582698,-79.4500068
259748801,43.7384589,-79.3646835
1247823273,43.7753182,-79.3488642
1721194521,43.7502838,-79.4634498
4177446659,43.7539107,-79.5245358
5620762286,43.7598796,-79.4104516
2504360438,43.7489193,-79.5599801
2026978526,43.7114967,-79.3300931
1481693875,43.7489543,-79.3927184
7832769376,43.7739413,-79.4997297
5448549193,43.7608218,-79.4728661
1724542561,43.7594758,-79.3254748
1753984324,43.7615183,-79.3343637
1266565046,43.7180998,-79.334453
261655432,43.7313565,-79.4211489
25768524,43.7816287,-79.407097
1578945932,43.7732948,-79.4935806
308842700,43.791884,-79.3571784
97247963,43.715112,-79.3301761
1492697565,43.7307154,-79.4335207
7641144074,43.8076292,-79.3565174
3724392841,43.7274962,-79.3329227
4173502952,43.7694527,-79.3284506
1277814689,43.7917888,-79.4459198
5448592352,43.7586993,-79.4707445
1735994837,43.7226118,-79.5001738
1585265526,43.7650715,-79.3948202
1131864084,43.7968691,-79.3926335
6680640257,43.7628345,-79.4106136
2577019018,43.7549215,-79.3484383
2036921384,43.7502133,-79.3384979
90778638,43.7978439,-79.3802078
1601422828,43.7947338,-79.345333
1740882141,43.7300127,-79.4407066
2386979745,43.7541382,-79.3589416
6541357173,43.7822329,-79.4680806
3132180985,43.7221062,-79.3696931
1481722311,43.7524653,-79.3771085
760158603,43.7877054,-79.4004728
755100655,43.7202415,-79.3390812
267236426,43.7874494,-79.347067
820093410,43.7401915,-79.4745607
386804242,43.7472694,-79.3838438
2000489760,43.7404684,-79.3497966
1479817295,43.7298474,-79.3418452
778981932,43.7440714,-79.5391361
2057182985,43.7188524,-79.4322176
84980394,43.7655891,-79.4507155
265693350,43.7708161,-79.3539966
7365401442,43.75999,-79.4130448
683638741,43.7920888,-79.3582362
432820325,43.7401376,-79.4373412
